node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
A2M,MMP2,9606.ENSP00000323929,9606.ENSP00000219070,0,0,0,0,0.133,0.524,0.9,0.324,0.968
A2M,SERPINE1,9606.ENSP00000323929,9606.ENSP00000223095,0,0,0,0,0.053,0,0.9,0.422,0.94
A2M,THBS1,9606.ENSP00000323929,9606.ENSP00000260356,0,0,0,0,0,0,0.9,0.232,0.919
A2M,VWF,9606.ENSP00000323929,9606.ENSP00000261405,0,0,0,0,0.213,0,0.9,0.448,0.952
A2M,F13A1,9606.ENSP00000323929,9606.ENSP00000264870,0,0,0,0,0.097,0,0.9,0.208,0.922
A2M,KNG1,9606.ENSP00000323929,9606.ENSP00000265023,0,0,0,0,0.064,0,0.9,0.588,0.958
A2M,EGF,9606.ENSP00000323929,9606.ENSP00000265171,0,0,0,0,0.049,0.185,0.9,0.328,0.94
A2M,ALB,9606.ENSP00000323929,9606.ENSP00000295897,0,0,0,0,0.119,0,0.9,0.734,0.974
A2M,PPBP,9606.ENSP00000323929,9606.ENSP00000296028,0,0,0,0,0,0,0.9,0.296,0.926
A2M,PF4,9606.ENSP00000323929,9606.ENSP00000296029,0,0,0,0,0,0,0.9,0.211,0.917
A2M,IGF1,9606.ENSP00000323929,9606.ENSP00000302665,0,0,0,0,0.062,0,0.9,0.528,0.951
A2M,F2,9606.ENSP00000323929,9606.ENSP00000308541,0,0,0,0,0.137,0.05,0,0.611,0.653
A2M,PLG,9606.ENSP00000323929,9606.ENSP00000308938,0,0,0,0,0.11,0.05,0.9,0.709,0.972
A2M,SERPINF2,9606.ENSP00000323929,9606.ENSP00000321853,0,0,0,0,0.138,0,0.9,0.79,0.98
A2M,SERPINC1,9606.ENSP00000323929,9606.ENSP00000356671,0,0,0,0,0.167,0,0,0.795,0.822
A2M,CDC42,9606.ENSP00000323929,9606.ENSP00000383118,0,0,0,0,0,0.099,0.9,0.094,0.911
A2M,VEGFA,9606.ENSP00000323929,9606.ENSP00000478570,0,0,0,0,0,0,0.9,0.292,0.926
A2M,F8,9606.ENSP00000323929,9606.ENSP00000353393,0,0,0,0,0.049,0,0.9,0.296,0.927
A2M,FN1,9606.ENSP00000323929,9606.ENSP00000346839,0,0,0,0,0.11,0,0.9,0.557,0.957
ACE,SERPINE1,9606.ENSP00000290866,9606.ENSP00000223095,0,0,0,0,0,0,0,0.854,0.854
ACE,CMA1,9606.ENSP00000290866,9606.ENSP00000250378,0,0,0,0,0,0,0,0.8,0.8
ACE,VWF,9606.ENSP00000290866,9606.ENSP00000261405,0,0,0,0,0.096,0,0,0.583,0.607
ACE,KNG1,9606.ENSP00000290866,9606.ENSP00000265023,0,0,0,0,0.044,0,0,0.95,0.95
ACE,ENPEP,9606.ENSP00000290866,9606.ENSP00000265162,0,0,0,0,0.081,0,0,0.622,0.638
ACE,REN,9606.ENSP00000290866,9606.ENSP00000272190,0,0,0,0,0,0,0,0.959,0.959
ACE,PTH,9606.ENSP00000290866,9606.ENSP00000282091,0,0,0,0,0,0,0,0.669,0.669
ACE,FN1,9606.ENSP00000290866,9606.ENSP00000346839,0,0,0,0,0,0,0,0.604,0.604
ACE,AVP,9606.ENSP00000290866,9606.ENSP00000369647,0,0,0,0,0,0,0,0.63,0.63
ACE,TAC1,9606.ENSP00000290866,9606.ENSP00000321106,0,0,0,0,0,0,0,0.67,0.67
ACE,PLG,9606.ENSP00000290866,9606.ENSP00000308938,0,0,0,0,0,0,0,0.693,0.693
ACE,ATP6AP2,9606.ENSP00000290866,9606.ENSP00000367697,0,0,0,0,0,0,0,0.718,0.718
ACE,EDN1,9606.ENSP00000290866,9606.ENSP00000368683,0,0,0,0,0,0,0,0.792,0.792
ACE,VEGFA,9606.ENSP00000290866,9606.ENSP00000478570,0,0,0,0,0.064,0,0,0.793,0.798
ACE,ALB,9606.ENSP00000290866,9606.ENSP00000295897,0,0,0,0,0,0,0,0.838,0.838
ACE,MME,9606.ENSP00000290866,9606.ENSP00000418525,0,0,0,0,0.062,0,0,0.84,0.843
ACE,AGTR2,9606.ENSP00000290866,9606.ENSP00000360973,0,0,0,0,0.061,0.379,0,0.883,0.926
ACE,AGTR1,9606.ENSP00000290866,9606.ENSP00000419422,0,0,0,0,0.06,0,0,0.927,0.928
ACE,AGT,9606.ENSP00000290866,9606.ENSP00000355627,0,0,0,0,0.061,0.379,0.9,0.948,0.996
ACE2,CMA1,9606.ENSP00000389326,9606.ENSP00000250378,0,0,0,0,0.061,0,0,0.745,0.75
ACE2,KNG1,9606.ENSP00000389326,9606.ENSP00000265023,0,0,0,0,0.057,0,0,0.632,0.638
ACE2,ENPEP,9606.ENSP00000389326,9606.ENSP00000265162,0,0,0,0,0.173,0,0,0.624,0.676
ACE2,REN,9606.ENSP00000389326,9606.ENSP00000272190,0,0,0,0,0.061,0,0,0.949,0.95
ACE2,AGT,9606.ENSP00000389326,9606.ENSP00000355627,0,0,0,0,0.063,0.379,0.9,0.87,0.991
ACE2,AGTR2,9606.ENSP00000389326,9606.ENSP00000360973,0,0,0,0,0,0,0,0.858,0.858
ACE2,ATP6AP2,9606.ENSP00000389326,9606.ENSP00000367697,0,0,0,0,0,0,0,0.7,0.7
ACE2,EDN1,9606.ENSP00000389326,9606.ENSP00000368683,0,0,0,0,0,0,0,0.689,0.689
ACE2,APLN,9606.ENSP00000389326,9606.ENSP00000391800,0,0,0,0,0,0,0,0.73,0.73
ACE2,AGTR1,9606.ENSP00000389326,9606.ENSP00000419422,0,0,0,0,0.06,0,0,0.901,0.904
ACE2,MME,9606.ENSP00000389326,9606.ENSP00000418525,0,0,0.242,0,0.061,0,0.8,0.692,0.95
ADAMTS13,THBS1,9606.ENSP00000360997,9606.ENSP00000260356,0,0,0,0.541,0,0,0.9,0.589,0.926
ADAMTS13,VWF,9606.ENSP00000360997,9606.ENSP00000261405,0,0,0,0,0,0.379,0,0.958,0.973
ADAMTS13,F8,9606.ENSP00000360997,9606.ENSP00000353393,0,0,0,0,0.057,0.294,0,0.71,0.79
ADM,GNB3,9606.ENSP00000436607,9606.ENSP00000229264,0,0,0,0,0,0,0.9,0,0.9
ADM,REN,9606.ENSP00000436607,9606.ENSP00000272190,0,0,0,0,0,0,0,0.63,0.63
ADM,CRH,9606.ENSP00000436607,9606.ENSP00000276571,0,0,0,0,0.055,0,0.9,0.297,0.927
ADM,PTH,9606.ENSP00000436607,9606.ENSP00000282091,0,0,0,0,0,0,0.9,0.302,0.927
ADM,CALCA,9606.ENSP00000436607,9606.ENSP00000331746,0,0,0,0,0,0,0.9,0.879,0.987
ADM,AVPR2,9606.ENSP00000436607,9606.ENSP00000351805,0,0,0,0,0,0,0.9,0.083,0.904
ADM,VIP,9606.ENSP00000436607,9606.ENSP00000356213,0,0,0,0,0,0,0.9,0.574,0.955
ADM,EDN1,9606.ENSP00000436607,9606.ENSP00000368683,0,0,0,0,0.065,0.379,0,0.822,0.888
ADM,AVP,9606.ENSP00000436607,9606.ENSP00000369647,0,0,0,0,0,0,0.9,0.653,0.963
ADM,NPS,9606.ENSP00000436607,9606.ENSP00000381105,0,0,0,0,0,0,0.9,0.509,0.948
ADM,CRHR1,9606.ENSP00000436607,9606.ENSP00000381333,0,0,0,0,0,0,0.9,0.245,0.921
ADM,POMC,9606.ENSP00000436607,9606.ENSP00000384092,0,0,0,0,0,0,0.9,0.463,0.944
ADM,GCG,9606.ENSP00000436607,9606.ENSP00000387662,0,0,0,0,0,0,0.9,0.399,0.937
ADM,MME,9606.ENSP00000436607,9606.ENSP00000418525,0,0,0,0,0,0.379,0,0.46,0.65
ADM,VEGFA,9606.ENSP00000436607,9606.ENSP00000478570,0,0,0,0,0.077,0,0,0.76,0.769
ADM,PTHLH,9606.ENSP00000436607,9606.ENSP00000441765,0,0,0,0,0,0,0.9,0.265,0.923
AGT,CTSG,9606.ENSP00000355627,9606.ENSP00000216336,0,0,0,0,0,0.435,0.9,0.444,0.965
AGT,OXT,9606.ENSP00000355627,9606.ENSP00000217386,0,0,0,0,0.064,0,0.9,0.253,0.924
AGT,MMP2,9606.ENSP00000355627,9606.ENSP00000219070,0,0,0,0,0.069,0,0,0.619,0.63
AGT,GNB3,9606.ENSP00000355627,9606.ENSP00000229264,0,0,0,0,0.061,0,0.9,0.538,0.952
AGT,KALRN,9606.ENSP00000355627,9606.ENSP00000240874,0,0,0,0,0.078,0,0.9,0,0.903
AGT,CMA1,9606.ENSP00000355627,9606.ENSP00000250378,0,0,0,0,0,0.435,0.9,0.725,0.983
AGT,GRP,9606.ENSP00000355627,9606.ENSP00000256857,0,0,0,0,0,0,0.9,0.058,0.901
AGT,MAPK3,9606.ENSP00000355627,9606.ENSP00000263025,0,0,0,0,0,0,0.9,0.641,0.962
AGT,SLC9A3,9606.ENSP00000355627,9606.ENSP00000264938,0,0,0,0,0.062,0,0,0.611,0.619
AGT,KNG1,9606.ENSP00000355627,9606.ENSP00000265023,0,0,0,0,0.097,0.379,0.9,0.592,0.974
AGT,ENPEP,9606.ENSP00000355627,9606.ENSP00000265162,0,0,0,0,0.063,0.379,0.9,0.561,0.971
AGT,REN,9606.ENSP00000355627,9606.ENSP00000272190,0,0,0,0,0.061,0.87,0.9,0.972,0.999
AGT,GNRH1,9606.ENSP00000355627,9606.ENSP00000276414,0,0,0,0,0,0,0.9,0.127,0.908
AGT,ALB,9606.ENSP00000355627,9606.ENSP00000295897,0,0,0,0,0.257,0,0,0.62,0.706
AGT,PPBP,9606.ENSP00000355627,9606.ENSP00000296028,0,0,0,0,0,0,0.9,0.055,0.901
AGT,PF4,9606.ENSP00000355627,9606.ENSP00000296029,0,0,0,0,0,0,0.9,0.049,0.9
